68.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.8,20.53,0.23,0,0,0,0,0,13.31,0.16,0.77,0.001,6.37,0,0,0,0
0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.87,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0
3.34,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0
3.85,0,0,0,0,6.39,2.87,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,29.99,0,0,0,0,0,0,0,0,0,0
2.43,0,0,0,0,0,0.35,139.72,2.13,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,55.33,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,23.69,0,0,0,0
0,1.02,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
0,10.88,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
0,0,0,0,0,0,0,0,5.66,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,48.64
